classification_id,credit_id,client_id,date_classification,categorie_reglementaire,categorie_bale_ii,categorie_ifrs9,jours_retard,probabilite_defaut_pd,perte_en_cas_defaut_lgd,exposition_en_cas_defaut_ead,perte_attendue_el,provision_requise,provision_constituee,taux_provisionnement,indicateur_forborne,date_restructuration,indicateur_contentieux,date_entree_contentieux,motif_classification,observation,validateur_id,date_validation,date_prochaine_revue
CLS-000011,CRD-000011,CLI-002465,2026-08-26,Saine,C,Stage 1,0,0.0192,0.6783,51813.83,675.47,703.28,670.07,0.0,0,,0,,Normal,Classification automatique,VAL-010,2026-09-11 14:53:25.457545,2026-12-10 14:53:25.457545
CLS-000012,CRD-000012,CLI-000229,2023-07-06,Saine,C,Stage 1,0,0.0168,0.352,37903.91,224.42,225.26,216.3,0.0,0,,0,,Normal,Classification automatique,VAL-001,2026-09-11 14:53:25.459550,2026-12-10 14:53:25.459550
CLS-000013,CRD-000013,CLI-000916,2025-10-21,Saine,A,Stage 1,0,0.0137,0.4121,29482.18,166.74,190.81,182.72,0.0,0,,0,,Normal,Classification automatique,VAL-012,2026-09-11 14:53:25.461550,2026-12-10 14:53:25.461550
CLS-000014,CRD-000014,CLI-000795,2023-02-23,Saine,B,Stage 1,0,0.0079,0.2394,95143.89,179.73,192.69,186.14,0.0,0,,0,,Normal,Classification automatique,VAL-002,2026-09-11 14:53:25.464532,2026-12-10 14:53:25.464532
CLS-000015,CRD-000015,CLI-003022,2026-11-04,Saine,A,Stage 1,0,0.0132,0.6846,5557.41,50.34,60.01,59.44,0.0,0,,0,,Normal,Classification automatique,VAL-015,2026-09-11 14:53:25.467773,2026-12-10 14:53:25.467773
CLS-000016,CRD-000016,CLI-003544,2025-04-17,Saine,A,Stage 1,0,0.0197,0.4311,4642.29,39.5,47.36,47.18,0.0,0,,0,,Normal,Classification automatique,VAL-010,2026-09-11 14:53:25.470752,2026-12-10 14:53:25.470752
CLS-000017,CRD-000017,CLI-001074,2024-03-26,Saine,B,Stage 1,0,0.0119,0.448,101184.04,541.49,556.12,548.28,0.0,0,,0,,Normal,Classification automatique,VAL-017,2026-09-11 14:53:25.473828,2026-12-10 14:53:25.473828
CLS-000018,CRD-000018,CLI-003352,2026-12-28,Saine,B,Stage 1,0,0.0169,0.5972,24681.32,248.77,293.0,285.22,0.0,0,,0,,Normal,Classification automatique,VAL-019,2026-09-11 14:53:25.475963,2026-12-10 14:53:25.475963
CLS-000019,CRD-000019,CLI-001745,2024-08-17,Saine,B,Stage 1,0,0.0128,0.4837,2036.43,12.63,13.8,13.33,0.0,0,,0,,Normal,Classification automatique,VAL-012,2026-09-11 14:53:25.478961,2026-12-10 14:53:25.478961
CLS-000020,CRD-000020,CLI-001085,2026-06-22,Saine,C,Stage 1,0,0.0156,0.2503,4266.66,16.64,17.75,17.21,0.0,0,,0,,Normal,Classification automatique,VAL-019,2026-09-11 14:53:25.480963,2026-12-10 14:53:25.480963
CLS-000021,CRD-000021,CLI-000927,2023-11-11,Douteuse,D,Stage 3,333,0.5723,0.4188,147612.27,35380.23,40046.75,39872.43,0.5,0,,1,2023-11-08,Retard de paiement,Classification automatique,VAL-007,2026-09-11 14:53:25.483963,2026-12-10 14:53:25.483963
CLS-000022,CRD-000022,CLI-003050,2024-07-23,Saine,B,Stage 1,0,0.019,0.3287,24280.76,151.54,169.45,166.81,0.0,0,,0,,Normal,Classification automatique,VAL-012,2026-09-11 14:53:25.486939,2026-12-10 14:53:25.486939
CLS-000023,CRD-000023,CLI-001118,2023-01-16,Saine,C,Stage 1,0,0.01,0.3681,24697.92,90.68,98.12,96.05,0.0,0,,0,,Normal,Classification automatique,VAL-016,2026-09-11 14:53:25.488940,2026-12-10 14:53:25.488940
CLS-000024,CRD-000024,CLI-000643,2026-03-21,Saine,B,Stage 1,0,0.0071,0.5629,934502.74,3734.86,4121.54,4079.21,0.0,0,,0,,Normal,Classification automatique,VAL-004,2026-09-11 14:53:25.492125,2026-12-10 14:53:25.492125
CLS-000025,CRD-000025,CLI-004768,2023-05-08,Saine,C,Stage 1,0,0.0177,0.6709,26138.64,310.75,346.19,335.74,0.0,0,,0,,Normal,Classification automatique,VAL-007,2026-09-11 14:53:25.494127,2026-12-10 14:53:25.494127
CLS-000026,CRD-000026,CLI-000502,2026-02-27,Saine,B,Stage 1,0,0.02,0.5504,5096.86,56.1,61.08,59.27,0.0,0,,0,,Normal,Classification automatique,VAL-019,2026-09-11 14:53:25.497127,2026-12-10 14:53:25.497127
CLS-000027,CRD-000027,CLI-004067,2024-08-06,Saine,B,Stage 1,0,0.012,0.7305,12176.18,106.9,108.35,104.31,0.0,0,,0,,Normal,Classification automatique,VAL-002,2026-09-11 14:53:25.499235,2026-12-10 14:53:25.499235
CLS-000028,CRD-000028,CLI-000334,2023-01-16,Saine,C,Stage 1,0,0.0123,0.6419,557261.69,4409.01,5257.33,5241.31,0.0,0,,0,,Normal,Classification automatique,VAL-019,2026-09-11 14:53:25.502261,2026-12-10 14:53:25.502261
CLS-000029,CRD-000029,CLI-004685,2024-02-15,Saine,B,Stage 1,0,0.0179,0.6202,73755.84,817.64,956.74,932.6,0.0,1,,0,,Normal,Classification automatique,VAL-019,2026-09-11 14:53:25.505256,2026-12-10 14:53:25.505256
CLS-000030,CRD-000030,CLI-000487,2026-01-01,Saine,B,Stage 1,0,0.0176,0.5838,10668.75,109.78,126.48,123.07,0.0,0,,0,,Normal,Classification automatique,VAL-002,2026-09-11 14:53:25.507263,2026-12-10 14:53:25.507263
CLS-000031,CRD-000031,CLI-001963,2022-10-01,Saine,C,Stage 1,0,0.0104,0.5233,2127.39,11.53,13.46,13.19,0.0,0,,0,,Normal,Classification automatique,VAL-013,2026-09-11 14:53:25.510260,2026-12-10 14:53:25.510260
CLS-000032,CRD-000032,CLI-000394,2022-05-06,Saine,B,Stage 1,0,0.0122,0.5503,37400.78,250.86,257.94,251.31,0.0,0,,0,,Normal,Classification automatique,VAL-020,2026-09-11 14:53:25.512259,2026-12-10 14:53:25.512259
CLS-000033,CRD-000033,CLI-004843,2024-01-12,Saine,C,Stage 2,71,0.0714,0.5329,12351.67,469.9,475.75,456.32,0.0,0,,0,,Retard de paiement,Classification automatique,VAL-004,2026-09-11 14:53:25.514260,2026-12-10 14:53:25.514260
CLS-000034,CRD-000034,CLI-004867,2026-09-30,Saine,C,Stage 1,0,0.0099,0.4275,268577.12,1138.61,1213.91,1203.09,0.0,0,,0,,Normal,Classification automatique,VAL-014,2026-09-11 14:53:25.517699,2026-12-10 14:53:25.517699
CLS-000035,CRD-000035,CLI-001756,2024-12-03,Saine,B,Stage 2,14,0.0385,0.4373,186693.94,3145.85,3625.17,3467.83,0.0,0,,0,,Normal,Classification automatique,VAL-006,2026-09-11 14:53:25.520700,2026-12-10 14:53:25.520700
CLS-000036,CRD-000036,CLI-002516,2022-08-22,Saine,B,Stage 1,0,0.0087,0.6123,6821.1,36.27,37.34,37.0,0.0,0,,0,,Normal,Classification automatique,VAL-013,2026-09-11 14:53:25.523699,2026-12-10 14:53:25.523699
CLS-000037,CRD-000037,CLI-003586,2024-06-04,Saine,C,Stage 1,0,0.0104,0.6612,486383.66,3334.06,3559.48,3539.61,0.0,0,,0,,Normal,Classification automatique,VAL-001,2026-09-11 14:53:25.525697,2026-12-10 14:53:25.525697
CLS-000038,CRD-000038,CLI-004316,2026-06-29,Saine,B,Stage 1,0,0.007,0.3691,179794.15,464.37,480.5,477.97,0.0,0,,0,,Normal,Classification automatique,VAL-002,2026-09-11 14:53:25.528699,2026-12-10 14:53:25.528699
CLS-000039,CRD-000039,CLI-004967,2025-12-02,Saine,B,Stage 1,0,0.0087,0.3865,16189.15,54.57,60.0,58.08,0.0,0,,0,,Normal,Classification automatique,VAL-016,2026-09-11 14:53:25.531699,2026-12-10 14:53:25.531699
CLS-000040,CRD-000040,CLI-002100,2022-08-22,Saine,A,Stage 1,0,0.0082,0.6624,1034110.41,5618.75,6142.35,5861.21,0.0,0,,0,,Normal,Classification automatique,VAL-002,2026-09-11 14:53:25.533701,2026-12-10 14:53:25.533701
CLS-000041,CRD-000041,CLI-003600,2027-05-06,Saine,B,Stage 1,0,0.0176,0.2142,107190.41,403.75,405.43,385.41,0.0,0,,0,,Normal,Classification automatique,VAL-002,2026-09-11 14:53:25.536701,2026-12-10 14:53:25.536701
CLS-000042,CRD-000042,CLI-004122,2026-09-15,Saine,B,Stage 1,0,0.02,0.7465,5845.12,87.06,98.7,95.19,0.0,0,,0,,Normal,Classification automatique,VAL-004,2026-09-11 14:53:25.539698,2026-12-10 14:53:25.539698
CLS-000043,CRD-000043,CLI-000030,2024-07-17,Saine,C,Stage 1,0,0.0174,0.3677,1585.24,10.14,11.73,11.22,0.0,0,,0,,Normal,Classification automatique,VAL-018,2026-09-11 14:53:25.541696,2026-12-10 14:53:25.541696
CLS-000044,CRD-000044,CLI-000066,2026-01-13,Saine,C,Stage 1,0,0.017,0.3981,349009.33,2361.53,2681.96,2674.51,0.0,0,,0,,Normal,Classification automatique,VAL-020,2026-09-11 14:53:25.544699,2026-12-10 14:53:25.544699
CLS-000045,CRD-000045,CLI-000839,2025-08-31,Saine,C,Stage 1,0,0.0053,0.4252,24036.36,54.61,57.83,55.64,0.0,0,,0,,Normal,Classification automatique,VAL-003,2026-09-11 14:53:25.547681,2026-12-10 14:53:25.547681
CLS-000046,CRD-000046,CLI-003907,2022-12-27,Saine,B,Stage 1,0,0.0089,0.7039,99351.05,619.64,730.08,716.28,0.0,0,,0,,Normal,Classification automatique,VAL-014,2026-09-11 14:53:25.551034,2026-12-10 14:53:25.551034
CLS-000047,CRD-000047,CLI-003774,2025-02-10,Saine,B,Stage 1,0,0.0191,0.5211,2650.49,26.43,30.91,30.72,0.0,0,,0,,Normal,Classification automatique,VAL-008,2026-09-11 14:53:25.553033,2026-12-10 14:53:25.553033
CLS-000048,CRD-000048,CLI-004636,2025-11-26,Saine,B,Stage 1,0,0.011,0.2326,2076.44,5.32,5.67,5.56,0.0,0,,0,,Normal,Classification automatique,VAL-017,2026-09-11 14:53:25.556034,2026-12-10 14:53:25.556034
CLS-000049,CRD-000049,CLI-003162,2022-02-12,Saine,C,Stage 1,0,0.0159,0.4736,30296.41,228.24,234.44,226.91,0.0,0,,0,,Normal,Classification automatique,VAL-018,2026-09-11 14:53:25.559033,2026-12-10 14:53:25.559033
CLS-000050,CRD-000050,CLI-002660,2026-01-27,Saine,B,Stage 1,0,0.0147,0.4452,15224.16,99.76,103.3,99.04,0.0,0,,0,,Normal,Classification automatique,VAL-020,2026-09-11 14:53:25.561034,2026-12-10 14:53:25.561034
CLS-000051,CRD-000051,CLI-004616,2022-10-21,Saine,B,Stage 1,0,0.0102,0.555,609152.8,3442.49,3927.41,3793.8,0.0,0,,0,,Normal,Classification automatique,VAL-001,2026-09-11 14:53:25.564034,2026-12-10 14:53:25.564034
CLS-000052,CRD-000052,CLI-004629,2021-11-16,Saine,C,Stage 1,0,0.0058,0.4514,4189.03,11.05,13.01,12.49,0.0,0,,0,,Normal,Classification automatique,VAL-015,2026-09-11 14:53:25.567237,2026-12-10 14:53:25.567237
CLS-000053,CRD-000053,CLI-002452,2026-12-02,Saine,A,Stage 1,0,0.0131,0.4411,539749.87,3123.41,3539.31,3429.73,0.0,0,,0,,Normal,Classification automatique,VAL-010,2026-09-11 14:53:25.569236,2026-12-10 14:53:25.569236
CLS-000054,CRD-000054,CLI-002847,2022-09-09,Saine,B,Stage 1,0,0.0105,0.4206,266356.14,1176.9,1315.03,1271.47,0.0,0,,0,,Normal,Classification automatique,VAL-008,2026-09-11 14:53:25.572237,2026-12-10 14:53:25.572237
CLS-000055,CRD-000055,CLI-001145,2025-07-28,Douteuse,D,Stage 3,239,0.5168,0.3351,24080.72,4170.81,4686.36,4615.98,0.5,0,,1,2025-04-02,Retard de paiement,Classification automatique,VAL-001,2026-09-11 14:53:25.575580,2026-12-10 14:53:25.575580
CLS-000056,CRD-000056,CLI-003079,2023-09-06,Saine,C,Stage 1,0,0.014,0.6762,146638.36,1386.46,1424.57,1377.98,0.0,0,,0,,Normal,Classification automatique,VAL-020,2026-09-11 14:53:25.577579,2026-12-10 14:53:25.577579
CLS-000057,CRD-000057,CLI-001104,2025-02-15,Saine,C,Stage 1,0,0.0117,0.3176,590833.9,2204.24,2386.4,2315.31,0.0,0,,0,,Normal,Classification automatique,VAL-006,2026-09-11 14:53:25.580598,2026-12-10 14:53:25.580598
CLS-000058,CRD-000058,CLI-000169,2025-12-15,Saine,C,Stage 1,0,0.0068,0.5555,9993.82,37.71,42.02,40.2,0.0,0,,0,,Normal,Classification automatique,VAL-001,2026-09-11 14:53:25.583597,2026-12-10 14:53:25.583597
CLS-000059,CRD-000059,CLI-001671,2025-09-18,Saine,C,Stage 1,0,0.0124,0.5997,8547.93,63.47,67.45,66.94,0.0,0,,0,,Normal,Classification automatique,VAL-013,2026-09-11 14:53:25.586598,2026-12-10 14:53:25.586598
CLS-000060,CRD-000060,CLI-002571,2026-01-31,Saine,C,Stage 1,0,0.0088,0.5515,7841.26,38.11,45.08,43.06,0.0,0,,0,,Normal,Classification automatique,VAL-016,2026-09-11 14:53:25.589789,2026-12-10 14:53:25.589789
CLS-000061,CRD-000061,CLI-002378,2025-02-11,Saine,B,Stage 1,0,0.017,0.2943,4342052.97,21771.89,24963.19,24882.24,0.0,0,,0,,Normal,Classification automatique,VAL-012,2026-09-11 14:53:25.592813,2026-12-10 14:53:25.592813
CLS-000062,CRD-000062,CLI-004396,2024-11-14,Pré-douteuse,D,Stage 3,180,0.2877,0.4573,178538.57,23486.8,24696.38,24446.72,0.2,0,,0,,Retard de paiement,Classification automatique,VAL-012,2026-09-11 14:53:25.595814,2026-12-10 14:53:25.595814
CLS-000063,CRD-000063,CLI-004258,2026-08-14,Saine,C,Stage 1,0,0.0082,0.395,61469.97,200.13,227.65,221.52,0.0,0,,0,,Normal,Classification automatique,VAL-006,2026-09-11 14:53:25.597816,2026-12-10 14:53:25.597816
CLS-000064,CRD-000064,CLI-003863,2022-12-09,Saine,B,Stage 1,0,0.0175,0.5775,384093.15,3872.76,4088.36,3956.75,0.0,0,,0,,Normal,Classification automatique,VAL-018,2026-09-11 14:53:25.600951,2026-12-10 14:53:25.600951
CLS-000065,CRD-000065,CLI-000024,2024-05-25,Saine,C,Stage 1,0,0.0147,0.6018,5226.44,46.29,48.79,47.7,0.0,0,,0,,Normal,Classification automatique,VAL-010,2026-09-11 14:53:25.602952,2026-12-10 14:53:25.602952
CLS-000066,CRD-000066,CLI-002634,2026-05-05,Saine,C,Stage 1,0,0.0185,0.4028,3817.08,28.45,30.53,29.96,0.0,0,,0,,Normal,Classification automatique,VAL-015,2026-09-11 14:53:25.605950,2026-12-10 14:53:25.605950
CLS-000067,CRD-000067,CLI-003341,2022-04-07,Saine,C,Stage 1,0,0.0171,0.4833,570084.23,4698.15,4931.47,4776.0,0.0,0,,0,,Normal,Classification automatique,VAL-013,2026-09-11 14:53:25.607950,2026-12-10 14:53:25.607950
CLS-000068,CRD-000068,CLI-002216,2024-08-02,Saine,C,Stage 1,0,0.0197,0.3266,3390.28,21.84,22.15,21.51,0.0,0,,0,,Normal,Classification automatique,VAL-005,2026-09-11 14:53:25.610954,2026-12-10 14:53:25.610954
CLS-000069,CRD-000069,CLI-003683,2022-08-20,Saine,A,Stage 1,0,0.0122,0.5474,12987.86,86.69,89.14,85.16,0.0,0,,0,,Normal,Classification automatique,VAL-006,2026-09-11 14:53:25.613953,2026-12-10 14:53:25.613953
CLS-000070,CRD-000070,CLI-004725,2023-01-23,Saine,C,Stage 1,0,0.0166,0.6924,10766.49,123.59,127.79,126.13,0.0,0,,0,,Normal,Classification automatique,VAL-016,2026-09-11 14:53:25.617087,2026-12-10 14:53:25.617087
CLS-000071,CRD-000071,CLI-001908,2025-09-23,Saine,C,Stage 1,0,0.0125,0.4088,52063.36,266.88,292.49,280.68,0.0,0,,0,,Normal,Classification automatique,VAL-019,2026-09-11 14:53:25.619089,2026-12-10 14:53:25.619089
CLS-000072,CRD-000072,CLI-000085,2024-09-21,Saine,B,Stage 1,0,0.0158,0.214,6679.49,22.62,25.17,23.97,0.0,0,,0,,Normal,Classification automatique,VAL-009,2026-09-11 14:53:25.622087,2026-12-10 14:53:25.622087
CLS-000073,CRD-000073,CLI-000228,2023-09-28,Saine,C,Stage 1,0,0.0152,0.3563,0.0,0.0,0.0,0.0,0.0,0,,0,,Normal,Classification automatique,VAL-002,2026-09-11 14:53:25.626064,2026-12-10 14:53:25.626064
CLS-000074,CRD-000074,CLI-000297,2026-02-23,Saine,C,Stage 1,0,0.018,0.4166,81012.44,607.46,625.97,611.2,0.0,0,,0,,Normal,Classification automatique,VAL-010,2026-09-11 14:53:25.628066,2026-12-10 14:53:25.628066
CLS-000075,CRD-000075,CLI-001002,2023-03-12,Saine,A,Stage 1,0,0.0161,0.5204,7715.98,64.79,77.43,76.64,0.0,0,,0,,Normal,Classification automatique,VAL-018,2026-09-11 14:53:25.632097,2026-12-10 14:53:25.632097
CLS-000076,CRD-000076,CLI-002139,2022-11-16,Saine,B,Stage 1,0,0.0159,0.3519,4650.93,25.98,29.52,28.7,0.0,0,,0,,Normal,Classification automatique,VAL-019,2026-09-11 14:53:25.635088,2026-12-10 14:53:25.635088
CLS-000077,CRD-000077,CLI-000712,2026-02-21,Saine,C,Stage 1,0,0.0079,0.4955,13439.8,52.55,58.69,57.7,0.0,0,,0,,Normal,Classification automatique,VAL-008,2026-09-11 14:53:25.637089,2026-12-10 14:53:25.637089
CLS-000078,CRD-000078,CLI-002802,2026-09-01,Saine,C,Stage 1,0,0.0061,0.5495,1586903.78,5299.75,5432.77,5179.46,0.0,0,,0,,Normal,Classification automatique,VAL-011,2026-09-11 14:53:25.640083,2026-12-10 14:53:25.640083
CLS-000079,CRD-000079,CLI-002528,2026-12-15,Saine,A,Stage 1,0,0.0056,0.6827,13679.47,51.9,55.54,53.1,0.0,0,,0,,Normal,Classification automatique,VAL-014,2026-09-11 14:53:25.643086,2026-12-10 14:53:25.643086
CLS-000080,CRD-000080,CLI-003753,2023-01-04,Saine,C,Stage 2,62,0.093,0.3624,41477.6,1398.05,1666.81,1620.26,0.0,0,,0,,Retard de paiement,Classification automatique,VAL-009,2026-09-11 14:53:25.645089,2026-12-10 14:53:25.645089
CLS-000081,CRD-000081,CLI-003322,2026-08-19,Saine,C,Stage 1,0,0.0138,0.422,216090.18,1255.81,1477.59,1458.86,0.0,0,,0,,Normal,Classification automatique,VAL-009,2026-09-11 14:53:25.649069,2026-12-10 14:53:25.649069
CLS-000082,CRD-000082,CLI-003182,2023-09-15,Saine,C,Stage 1,0,0.0089,0.2853,18848.51,47.71,53.66,51.68,0.0,1,,0,,Normal,Classification automatique,VAL-001,2026-09-11 14:53:25.652068,2026-12-10 14:53:25.652068
CLS-000083,CRD-000083,CLI-004184,2025-09-25,Saine,C,Stage 1,0,0.0197,0.6567,656354.77,8501.68,9475.21,9076.23,0.0,0,,0,,Normal,Classification automatique,VAL-006,2026-09-11 14:53:25.654068,2026-12-10 14:53:25.654068
CLS-000084,CRD-000084,CLI-001616,2024-09-09,Saine,B,Stage 1,0,0.0123,0.4499,159106.59,880.39,1043.06,1003.38,0.0,0,,0,,Normal,Classification automatique,VAL-002,2026-09-11 14:53:25.657066,2026-12-10 14:53:25.657066
CLS-000085,CRD-000085,CLI-003025,2026-10-09,Saine,C,Stage 1,0,0.0114,0.5294,11308.34,68.46,72.14,69.62,0.0,0,,0,,Normal,Classification automatique,VAL-016,2026-09-11 14:53:25.660065,2026-12-10 14:53:25.660065
CLS-000086,CRD-000086,CLI-001414,2023-11-07,Saine,C,Stage 1,0,0.0175,0.3019,7914.88,41.71,44.59,43.2,0.0,0,,0,,Normal,Classification automatique,VAL-006,2026-09-11 14:53:25.662066,2026-12-10 14:53:25.662066
CLS-000087,CRD-000087,CLI-000764,2024-10-07,Saine,B,Stage 1,0,0.0175,0.5794,60470.17,612.73,670.74,650.03,0.0,0,,0,,Normal,Classification automatique,VAL-012,2026-09-11 14:53:25.665194,2026-12-10 14:53:25.665194
CLS-000088,CRD-000088,CLI-000656,2025-08-20,Saine,A,Stage 1,0,0.0155,0.5628,4583.14,39.94,40.97,40.42,0.0,0,,0,,Normal,Classification automatique,VAL-017,2026-09-11 14:53:25.668220,2026-12-10 14:53:25.668220
CLS-000089,CRD-000089,CLI-004798,2022-11-25,Saine,B,Stage 1,0,0.0172,0.6908,30199.5,357.93,388.93,384.71,0.0,0,,0,,Normal,Classification automatique,VAL-004,2026-09-11 14:53:25.670217,2026-12-10 14:53:25.670217
CLS-000090,CRD-000090,CLI-003850,2022-09-24,Saine,B,Stage 1,0,0.0173,0.7439,55742.21,716.1,766.85,740.31,0.0,0,,0,,Normal,Classification automatique,VAL-009,2026-09-11 14:53:25.673396,2026-12-10 14:53:25.673396
CLS-000091,CRD-000091,CLI-004154,2026-01-08,Saine,B,Stage 1,0,0.0066,0.3482,2297.61,5.27,6.19,5.96,0.0,0,,0,,Normal,Classification automatique,VAL-007,2026-09-11 14:53:25.675423,2026-12-10 14:53:25.675423
CLS-000092,CRD-000092,CLI-000469,2024-10-22,Saine,C,Stage 1,0,0.0053,0.5039,6248.38,16.79,18.83,17.97,0.0,0,,0,,Normal,Classification automatique,VAL-014,2026-09-11 14:53:25.678421,2026-12-10 14:53:25.678421
CLS-000093,CRD-000093,CLI-000158,2024-10-23,Saine,B,Stage 1,0,0.0187,0.5624,109120.38,1150.32,1170.19,1166.18,0.0,0,,0,,Normal,Classification automatique,VAL-020,2026-09-11 14:53:25.680422,2026-12-10 14:53:25.680422
CLS-000094,CRD-000094,CLI-001296,2026-01-23,Saine,C,Stage 1,0,0.0052,0.5039,2208.16,5.82,6.39,6.31,0.0,0,,0,,Normal,Classification automatique,VAL-012,2026-09-11 14:53:25.683422,2026-12-10 14:53:25.683422
CLS-000095,CRD-000095,CLI-000498,2022-05-14,Saine,A,Stage 1,0,0.0189,0.6103,41721.49,481.19,527.0,500.9,0.0,0,,0,,Normal,Classification automatique,VAL-002,2026-09-11 14:53:25.685423,2026-12-10 14:53:25.685423
CLS-000096,CRD-000096,CLI-004741,2026-08-05,Pré-douteuse,D,Stage 3,129,0.2331,0.2715,10679.43,675.73,808.78,795.76,0.2,0,,0,,Retard de paiement,Classification automatique,VAL-001,2026-09-11 14:53:25.688416,2026-12-10 14:53:25.688416
CLS-000097,CRD-000097,CLI-002941,2024-11-06,Saine,C,Stage 1,0,0.0105,0.3525,10031.72,37.24,44.48,43.9,0.0,0,,0,,Normal,Classification automatique,VAL-003,2026-09-11 14:53:25.691558,2026-12-10 14:53:25.691558
CLS-000098,CRD-000098,CLI-003457,2024-08-20,Saine,C,Stage 1,0,0.0196,0.4731,20432.81,189.61,210.9,208.46,0.0,0,,0,,Normal,Classification automatique,VAL-007,2026-09-11 14:53:25.693563,2026-12-10 14:53:25.693563
CLS-000099,CRD-000099,CLI-000374,2025-05-05,Saine,A,Stage 1,0,0.0141,0.4297,18415.1,111.25,117.95,114.21,0.0,0,,0,,Normal,Classification automatique,VAL-007,2026-09-11 14:53:25.696562,2026-12-10 14:53:25.696562
CLS-000100,CRD-000100,CLI-000080,2023-03-22,Saine,C,Stage 1,0,0.0102,0.3451,9087.85,32.11,38.08,37.28,0.0,0,,0,,Normal,Classification automatique,VAL-010,2026-09-11 14:53:25.698670,2026-12-10 14:53:25.698670
CLS-000101,CRD-000101,CLI-001554,2024-06-14,Saine,A,Stage 1,0,0.0156,0.3732,19182.62,111.87,111.91,108.61,0.0,0,,0,,Normal,Classification automatique,VAL-011,2026-09-11 14:53:25.700695,2026-12-10 14:53:25.700695
CLS-000102,CRD-000102,CLI-001670,2026-06-11,Saine,B,Stage 2,4,0.0202,0.5106,2211.13,22.75,24.78,24.09,0.0,0,,0,,Normal,Classification automatique,VAL-005,2026-09-11 14:53:25.705698,2026-12-10 14:53:25.705698
CLS-000103,CRD-000103,CLI-002132,2024-01-15,Saine,B,Stage 1,0,0.0089,0.4274,1406.44,5.35,5.39,5.35,0.0,0,,0,,Normal,Classification automatique,VAL-011,2026-09-11 14:53:25.708694,2026-12-10 14:53:25.708694
CLS-000104,CRD-000104,CLI-004440,2026-12-30,Saine,B,Stage 1,0,0.0056,0.5988,10014.61,33.73,37.27,35.85,0.0,0,,0,,Normal,Classification automatique,VAL-012,2026-09-11 14:53:25.711694,2026-12-10 14:53:25.711694
CLS-000105,CRD-000105,CLI-000466,2026-08-08,Saine,A,Stage 1,0,0.0094,0.6859,8652.46,56.01,60.11,58.74,0.0,0,,0,,Normal,Classification automatique,VAL-002,2026-09-11 14:53:25.714696,2026-12-10 14:53:25.714696
