credit_id,client_id,agence_id,compte_id,type_credit,montant_initial,montant_restant_du,taux_interet_nominal,taux_effectif_global,duree_totale_mois,duree_restante_mois,montant_mensualite,date_octroi,date_premiere_echeance,date_derniere_echeance,date_derniere_mensualite_payee,nombre_echeances_payees,nombre_echeances_impayees,jours_retard,statut_credit,garantie,valeur_garantie,objet_financement,score_risque_octroi,classification_bale,provision_constituee,date_dernier_incident,nombre_incidents_paiement,conseiller_credit_id,date_creation,date_derniere_maj
CRD-000014,CLI-000795,AG-CAS-04,CPT-001014,Crédit professionnel,253717.05,95143.89,0.0762,0.0943,48,18,6148.82,2022-08-21,2022-09-20,2026-07-31,2025-02-06,30,18,0,En cours,Hypothèque,294343.2,Achat immobilier,644,B,186.14,,0,CONS-019,2026-09-11 14:53:25.464532,2026-09-11 14:53:25.464532
CRD-000015,CLI-003022,AG-RAB-02,CPT-003858,Crédit immobilier,38772.62,5557.41,0.0788,0.0935,300,43,296.18,2025-12-02,2026-01-01,2050-07-24,2047-01-11,257,43,0,En cours,Sans garantie,0.0,Équipement professionnel,807,A,59.44,,0,CONS-027,2026-09-11 14:53:25.467773,2026-09-11 14:53:25.467773
CRD-000016,CLI-003544,AG-TAN-02,CPT-004523,Crédit équipement,6553.82,4642.29,0.0483,0.0618,24,17,287.03,2025-02-18,2025-03-20,2027-02-08,2025-09-16,7,17,0,En cours,Caution personnelle,3820.19,Travaux,789,A,47.18,,0,CONS-045,2026-09-11 14:53:25.470752,2026-09-11 14:53:25.470752
CRD-000017,CLI-001074,AG-LAÂ-01,CPT-001369,Crédit immobilier,185848.23,101184.04,0.0457,0.0612,180,98,1428.38,2023-04-22,2023-05-22,2038-02-02,2030-01-15,82,98,0,En cours,Nantissement,163473.87,Travaux,655,B,548.28,,0,CONS-049,2026-09-11 14:53:25.473828,2026-09-11 14:53:25.473828
CRD-000018,CLI-003352,AG-KÉN-01,CPT-004270,Crédit professionnel,29200.44,24681.32,0.062,0.0681,84,71,429.38,2026-03-24,2026-04-23,2033-02-15,2027-04-18,13,71,0,En cours,Sans garantie,0.0,Achat immobilier,671,B,285.22,,0,CONS-040,2026-09-11 14:53:25.475963,2026-09-11 14:53:25.475963
CRD-000019,CLI-001745,AG-CAS-02,CPT-002225,Crédit consommation,12218.57,2036.43,0.0733,0.0855,24,4,548.89,2023-08-19,2023-09-18,2025-08-08,2025-04-10,20,4,0,En cours,Caution personnelle,8695.93,Véhicule,680,B,13.33,,0,CONS-010,2026-09-11 14:53:25.478961,2026-09-11 14:53:25.478961
CRD-000020,CLI-001085,AG-FÈS-02,CPT-001386,Crédit consommation,14628.55,4266.66,0.045,0.0601,24,7,638.5,2025-07-19,2025-08-18,2027-07-09,2026-12-11,17,7,0,En cours,Hypothèque,15695.17,Véhicule,443,C,17.21,,0,CONS-021,2026-09-11 14:53:25.480963,2026-09-11 14:53:25.480963
CRD-000021,CLI-000927,AG-RAB-02,CPT-001182,Crédit immobilier,962688.69,147612.27,0.0666,0.0728,300,46,6596.72,2022-12-10,2023-01-09,2047-08-01,2043-10-21,254,46,333,Contentieux,Garantie autonome,1122165.16,Études,384,D,39872.43,2024-12-05,3,CONS-042,2026-09-11 14:53:25.483963,2026-09-11 14:53:25.483963
CRD-000022,CLI-003050,AG-LAÂ-01,CPT-003892,Crédit automobile,37355.02,24280.76,0.045,0.0544,60,39,696.41,2023-08-31,2023-09-30,2028-08-04,2025-05-22,21,39,0,En cours,Hypothèque,22084.03,Études,622,B,166.81,,0,CONS-024,2026-09-11 14:53:25.486939,2026-09-11 14:53:25.486939
CRD-000023,CLI-001118,AG-CAS-05,CPT-001426,Crédit automobile,65861.13,24697.92,0.065,0.076,48,18,1561.89,2022-12-09,2023-01-08,2026-11-18,2025-05-27,30,18,0,En cours,Nantissement,41616.11,Investissement,509,C,96.05,,0,CONS-043,2026-09-11 14:53:25.488940,2026-09-11 14:53:25.488940
CRD-000024,CLI-000643,AG-SAL-01,CPT-000809,Crédit immobilier,1225577.36,934502.74,0.0511,0.0709,240,183,8162.93,2025-07-28,2025-08-27,2045-04-14,2030-04-03,57,183,0,En cours,Sans garantie,0.0,Équipement professionnel,697,B,4079.21,,0,CONS-019,2026-09-11 14:53:25.492125,2026-09-11 14:53:25.492125
CRD-000025,CLI-004768,AG-AGA-02,CPT-006113,Crédit professionnel,73803.23,26138.64,0.0652,0.08,48,17,1750.92,2022-06-21,2022-07-21,2026-05-31,2025-01-06,31,17,0,En cours,Sans garantie,0.0,Achat immobilier,471,C,335.74,,0,CONS-043,2026-09-11 14:53:25.494127,2026-09-11 14:53:25.494127
CRD-000026,CLI-000502,AG-CAS-05,CPT-000636,Crédit consommation,13591.63,5096.86,0.0575,0.0741,24,9,600.86,2025-03-17,2025-04-16,2027-03-07,2026-06-10,15,9,0,En cours,Sans garantie,0.0,Achat immobilier,640,B,59.27,,0,CONS-020,2026-09-11 14:53:25.497127,2026-09-11 14:53:25.497127
CRD-000027,CLI-004067,AG-CAS-04,CPT-005203,Crédit automobile,13915.63,12176.18,0.0431,0.0587,24,21,606.21,2023-12-30,2024-01-29,2025-12-19,2024-03-29,3,21,0,En cours,Sans garantie,0.0,Achat immobilier,601,B,104.31,,0,CONS-045,2026-09-11 14:53:25.499235,2026-09-11 14:53:25.499235
CRD-000028,CLI-000334,AG-TAN-01,CPT-000423,Crédit immobilier,571550.45,557261.69,0.0605,0.0719,120,117,6359.74,2022-10-11,2022-11-10,2032-08-19,2023-01-09,3,117,0,En cours,Sans garantie,0.0,Études,410,C,5241.31,,0,CONS-032,2026-09-11 14:53:25.502261,2026-09-11 14:53:25.502261
CRD-000029,CLI-004685,AG-LAÂ-01,CPT-006004,Crédit investissement,147511.68,73755.84,0.0694,0.0837,48,24,3528.25,2023-10-14,2023-11-13,2027-09-23,2025-10-03,24,24,0,En cours,Sans garantie,0.0,Véhicule,667,B,932.6,,0,CONS-046,2026-09-11 14:53:25.505256,2026-09-11 14:53:25.505256
CRD-000030,CLI-000487,AG-LAÂ-01,CPT-000617,Crédit automobile,48009.37,10668.75,0.0561,0.0686,36,8,1452.07,2025-10-21,2025-11-20,2028-10-05,2028-02-08,28,8,0,En cours,Sans garantie,0.0,Achat immobilier,651,B,123.07,,0,CONS-009,2026-09-11 14:53:25.507263,2026-09-11 14:53:25.507263
CRD-000031,CLI-001963,AG-NAD-01,CPT-002503,Crédit professionnel,76585.93,2127.39,0.0438,0.0495,36,1,2274.09,2021-11-02,2021-12-02,2024-10-17,2024-09-17,35,1,0,En cours,Nantissement,48721.64,Achat immobilier,597,C,13.19,,0,CONS-008,2026-09-11 14:53:25.509260,2026-09-11 14:53:25.509260
CRD-000032,CLI-000394,AG-KÉN-01,CPT-000497,Crédit professionnel,299206.27,37400.78,0.0337,0.0488,48,6,6671.77,2021-10-18,2021-11-17,2025-09-27,2025-03-31,42,6,0,En cours,Sans garantie,0.0,Véhicule,625,B,251.31,,0,CONS-038,2026-09-11 14:53:25.512259,2026-09-11 14:53:25.512259
CRD-000033,CLI-004843,AG-SAF-01,CPT-006208,Crédit automobile,35290.48,12351.67,0.0712,0.0823,60,21,700.79,2023-03-01,2023-03-31,2028-02-03,2026-05-14,39,21,71,En cours (retard),Nantissement,34394.26,Équipement professionnel,561,C,456.32,2023-11-08,1,CONS-046,2026-09-11 14:53:25.514260,2026-09-11 14:53:25.514260
CRD-000034,CLI-004867,AG-CAS-03,CPT-006240,Crédit immobilier,509956.56,268577.12,0.0565,0.0676,300,158,3177.42,2026-02-07,2026-03-09,2050-09-29,2037-10-07,142,158,0,En cours,Nantissement,298958.89,Véhicule,497,C,1203.09,,0,CONS-030,2026-09-11 14:53:25.517699,2026-09-11 14:53:25.517699
CRD-000035,CLI-001756,AG-AGA-02,CPT-002240,Crédit immobilier,285756.03,186693.94,0.0622,0.0792,300,196,1879.75,2024-10-20,2024-11-19,2049-06-11,2033-05-06,104,196,14,En cours (retard),Garantie autonome,160410.6,Équipement professionnel,612,B,3467.83,,0,CONS-041,2026-09-11 14:53:25.520700,2026-09-11 14:53:25.520700
CRD-000036,CLI-002516,AG-TÉT-01,CPT-003200,Crédit équipement,16370.63,6821.1,0.0756,0.0862,36,15,509.68,2022-05-02,2022-06-01,2025-04-16,2024-01-22,21,15,0,En cours,Sans garantie,0.0,Fonds de roulement,697,B,37.0,,0,CONS-029,2026-09-11 14:53:25.523699,2026-09-11 14:53:25.523699
CRD-000037,CLI-003586,AG-SAF-01,CPT-004581,Crédit automobile,583660.39,486383.66,0.0352,0.0544,48,40,13053.5,2023-07-10,2023-08-09,2027-06-19,2024-03-06,8,40,0,En cours,Sans garantie,0.0,Études,555,C,3539.61,,0,CONS-024,2026-09-11 14:53:25.525697,2026-09-11 14:53:25.525697
CRD-000038,CLI-004316,AG-SAL-01,CPT-005537,Crédit immobilier,227108.4,179794.15,0.057,0.0634,120,95,2487.29,2026-02-25,2026-03-27,2036-01-04,2028-03-16,25,95,0,En cours,Garantie autonome,238191.38,Achat immobilier,605,B,477.97,,0,CONS-023,2026-09-11 14:53:25.528699,2026-09-11 14:53:25.528699
CRD-000039,CLI-004967,AG-FÈS-02,CPT-006364,Crédit automobile,48567.45,16189.15,0.0763,0.0831,36,12,1513.65,2025-03-28,2025-04-27,2028-03-12,2027-03-18,24,12,0,En cours,Nantissement,45305.75,Investissement,697,B,58.08,,0,CONS-015,2026-09-11 14:53:25.531699,2026-09-11 14:53:25.531699
CRD-000040,CLI-002100,AG-RAB-03,CPT-002675,Crédit immobilier,1454217.76,1034110.41,0.0396,0.0483,180,128,10727.55,2022-04-18,2022-05-18,2037-01-29,2026-07-26,52,128,0,En cours,Sans garantie,0.0,Investissement,718,A,5861.21,,0,CONS-032,2026-09-11 14:53:25.533701,2026-09-11 14:53:25.533701
CRD-000041,CLI-003600,AG-TÉT-01,CPT-004600,Crédit professionnel,120589.21,107190.41,0.059,0.0748,36,32,3663.1,2026-07-05,2026-08-04,2029-06-19,2026-11-02,4,32,0,En cours,Hypothèque,103122.03,Travaux,655,B,385.41,,0,CONS-042,2026-09-11 14:53:25.536701,2026-09-11 14:53:25.536701
CRD-000042,CLI-004122,AG-AGA-02,CPT-005277,Crédit consommation,14028.28,5845.12,0.0371,0.0429,36,15,412.36,2026-03-02,2026-04-01,2029-02-14,2027-11-22,21,15,0,En cours,Sans garantie,0.0,Investissement,618,B,95.19,,0,CONS-017,2026-09-11 14:53:25.538700,2026-09-11 14:53:25.538700
CRD-000043,CLI-000030,AG-RAB-01,CPT-000044,Crédit professionnel,4076.33,1585.24,0.0361,0.0551,36,14,119.64,2023-11-19,2023-12-19,2026-11-03,2025-09-09,22,14,0,En cours,Caution personnelle,3417.53,Travaux,576,C,11.22,,0,CONS-009,2026-09-11 14:53:25.541696,2026-09-11 14:53:25.541696
CRD-000044,CLI-000066,AG-SAF-01,CPT-000085,Crédit immobilier,357958.29,349009.33,0.0471,0.0562,120,117,3746.17,2025-10-12,2025-11-11,2035-08-21,2026-01-10,3,117,0,En cours,Garantie autonome,344148.38,Travaux,445,C,2674.51,,0,CONS-031,2026-09-11 14:53:25.544699,2026-09-11 14:53:25.544699
CRD-000045,CLI-000839,AG-CAS-03,CPT-001071,Crédit professionnel,29838.24,24036.36,0.0484,0.0637,36,29,892.14,2025-08-31,2025-09-30,2028-08-15,2026-03-29,7,29,0,En cours,Garantie autonome,26707.0,Travaux,575,C,55.64,,0,CONS-021,2026-09-11 14:53:25.546681,2026-09-11 14:53:25.546681
CRD-000046,CLI-003907,AG-TAN-01,CPT-004993,Crédit immobilier,458543.32,99351.05,0.0725,0.0894,120,26,5383.35,2022-12-12,2023-01-11,2032-10-20,2030-09-01,94,26,0,En cours,Sans garantie,0.0,Travaux,639,B,716.28,,0,CONS-009,2026-09-11 14:53:25.551034,2026-09-11 14:53:25.551034
CRD-000047,CLI-003774,AG-MAR-02,CPT-004827,Crédit consommation,18174.81,2650.49,0.063,0.0799,48,7,429.34,2025-01-24,2025-02-23,2029-01-03,2028-06-07,41,7,0,En cours,Nantissement,12774.12,Équipement professionnel,657,B,30.72,,0,CONS-035,2026-09-11 14:53:25.553033,2026-09-11 14:53:25.553033
CRD-000048,CLI-004636,AG-KHO-01,CPT-005941,Crédit consommation,7475.17,2076.44,0.0564,0.069,36,10,226.19,2025-06-28,2025-07-28,2028-06-12,2027-08-17,26,10,0,En cours,Hypothèque,4200.84,Achat immobilier,619,B,5.56,,0,CONS-047,2026-09-11 14:53:25.556034,2026-09-11 14:53:25.556034
CRD-000049,CLI-003162,AG-MOH-01,CPT-004037,Crédit automobile,58169.1,30296.41,0.0344,0.0532,48,25,1298.88,2021-11-28,2021-12-28,2025-11-07,2023-10-19,23,25,0,En cours,Caution personnelle,38126.29,Achat immobilier,450,C,226.91,,0,CONS-009,2026-09-11 14:53:25.559033,2026-09-11 14:53:25.559033
CRD-000050,CLI-002660,AG-MEK-01,CPT-003387,Crédit équipement,42159.22,15224.16,0.0343,0.0537,36,13,1234.05,2025-08-04,2025-09-03,2028-07-19,2027-06-25,23,13,0,En cours,Nantissement,45787.25,Travaux,660,B,99.04,,0,CONS-048,2026-09-11 14:53:25.561034,2026-09-11 14:53:25.561034
CRD-000051,CLI-004616,AG-OUJ-01,CPT-005916,Crédit immobilier,697503.21,609152.8,0.079,0.0984,300,262,5337.32,2022-07-24,2022-08-23,2047-03-15,2025-09-06,38,262,0,En cours,Sans garantie,0.0,Équipement professionnel,621,B,3793.8,,0,CONS-019,2026-09-11 14:53:25.564034,2026-09-11 14:53:25.564034
CRD-000052,CLI-004629,AG-CAS-05,CPT-005932,Crédit consommation,16756.14,4189.03,0.0561,0.0707,12,3,1439.14,2021-11-01,2021-12-01,2022-10-27,2022-07-29,9,3,0,En cours,Garantie autonome,11477.96,Fonds de roulement,555,C,12.49,,0,CONS-049,2026-09-11 14:53:25.567237,2026-09-11 14:53:25.567237
CRD-000053,CLI-002452,AG-RAB-01,CPT-003121,Crédit immobilier,796352.27,539749.87,0.0626,0.0699,180,122,6832.45,2026-05-10,2026-06-09,2041-02-20,2031-02-13,58,122,0,En cours,Nantissement,731841.55,Études,790,A,3429.73,,0,CONS-009,2026-09-11 14:53:25.569236,2026-09-11 14:53:25.569236
CRD-000054,CLI-002847,AG-NAD-01,CPT-003628,Crédit immobilier,1278509.46,266356.14,0.03,0.0364,120,25,12345.38,2021-09-15,2021-10-15,2031-07-25,2029-07-05,95,25,0,En cours,Caution personnelle,657635.89,Études,660,B,1271.47,,0,CONS-023,2026-09-11 14:53:25.572237,2026-09-11 14:53:25.572237
CRD-000055,CLI-001145,AG-SAF-01,CPT-001464,Crédit automobile,25127.71,24080.72,0.0619,0.074,24,23,1115.83,2024-08-06,2024-09-05,2026-07-27,2024-09-05,1,23,239,Contentieux,Hypothèque,25614.04,Fonds de roulement,658,D,4615.98,2025-05-17,3,CONS-003,2026-09-11 14:53:25.575580,2026-09-11 14:53:25.575580
CRD-000056,CLI-003079,AG-BÉN-01,CPT-003927,Crédit immobilier,205808.23,146638.36,0.0732,0.0881,240,171,1635.4,2023-05-06,2023-06-05,2043-01-21,2029-01-04,69,171,0,En cours,Sans garantie,0.0,Études,567,C,1377.98,,0,CONS-044,2026-09-11 14:53:25.577579,2026-09-11 14:53:25.577579
CRD-000057,CLI-001104,AG-OUJ-01,CPT-001409,Crédit immobilier,993926.18,590833.9,0.0687,0.0762,180,107,8861.61,2024-08-19,2024-09-18,2039-06-02,2030-08-18,73,107,0,En cours,Hypothèque,938747.53,Études,572,C,2315.31,,0,CONS-023,2026-09-11 14:53:25.580598,2026-09-11 14:53:25.580598
CRD-000058,CLI-000169,AG-KÉN-01,CPT-000210,Crédit consommation,14108.92,9993.82,0.0674,0.0826,24,17,630.03,2025-04-09,2025-05-09,2027-03-30,2025-11-05,7,17,0,En cours,Sans garantie,0.0,Études,545,C,40.2,,0,CONS-021,2026-09-11 14:53:25.583597,2026-09-11 14:53:25.583597
CRD-000059,CLI-001671,AG-CAS-06,CPT-002137,Crédit équipement,34191.72,8547.93,0.0344,0.0495,12,3,2902.68,2025-05-01,2025-05-31,2026-04-26,2026-01-26,9,3,0,En cours,Sans garantie,0.0,Fonds de roulement,588,C,66.94,,0,CONS-039,2026-09-11 14:53:25.586598,2026-09-11 14:53:25.586598
CRD-000060,CLI-002571,AG-KÉN-01,CPT-003270,Crédit automobile,23523.77,7841.26,0.0348,0.0426,24,8,1016.08,2025-12-07,2026-01-06,2027-11-27,2027-04-01,16,8,0,En cours,Sans garantie,0.0,Investissement,373,C,43.06,,0,CONS-017,2026-09-11 14:53:25.589789,2026-09-11 14:53:25.589789
CRD-000061,CLI-002378,AG-EL -01,CPT-003026,Crédit immobilier,4962346.25,4342052.97,0.0363,0.0466,120,105,49373.36,2024-03-26,2024-04-25,2034-02-02,2025-06-19,15,105,0,En cours,Hypothèque,4311967.04,Véhicule,681,B,24882.24,,0,CONS-035,2026-09-11 14:53:25.592813,2026-09-11 14:53:25.592813
CRD-000062,CLI-004396,AG-TAN-02,CPT-005636,Crédit professionnel,182893.17,178538.57,0.0646,0.076,84,82,2712.32,2024-01-24,2024-02-23,2030-12-18,2024-03-24,2,82,180,Incident de paiement,Garantie autonome,121380.58,Études,740,D,24446.72,2024-09-13,3,CONS-001,2026-09-11 14:53:25.595814,2026-09-11 14:53:25.595814
CRD-000063,CLI-004258,AG-TAN-01,CPT-005457,Crédit immobilier,234171.3,61469.97,0.0503,0.0639,240,63,1549.31,2026-01-19,2026-02-18,2045-10-06,2040-08-03,177,63,0,En cours,Garantie autonome,134834.11,Véhicule,466,C,221.52,,0,CONS-034,2026-09-11 14:53:25.597816,2026-09-11 14:53:25.597816
CRD-000064,CLI-003863,AG-KHO-01,CPT-004941,Crédit immobilier,415235.84,384093.15,0.0525,0.0597,240,222,2798.04,2022-07-04,2022-08-03,2042-03-21,2023-12-26,18,222,0,En cours,Sans garantie,0.0,Véhicule,664,B,3956.75,,0,CONS-043,2026-09-11 14:53:25.600951,2026-09-11 14:53:25.600951
CRD-000065,CLI-000024,AG-NAD-01,CPT-000037,Crédit consommation,8552.36,5226.44,0.0542,0.0643,36,22,257.94,2023-08-05,2023-09-04,2026-07-20,2024-09-28,14,22,0,En cours,Sans garantie,0.0,Fonds de roulement,489,C,47.7,,0,CONS-016,2026-09-11 14:53:25.602952,2026-09-11 14:53:25.602952
CRD-000066,CLI-002634,AG-MAR-01,CPT-003352,Crédit consommation,11451.25,3817.08,0.0465,0.062,12,4,978.48,2026-03-30,2026-04-29,2027-03-25,2026-11-25,8,4,0,En cours,Nantissement,8746.95,Achat immobilier,589,C,29.96,,0,CONS-008,2026-09-11 14:53:25.604950,2026-09-11 14:53:25.604950
CRD-000067,CLI-003341,AG-EL -01,CPT-004253,Crédit investissement,621910.07,570084.23,0.0318,0.0395,48,44,13815.09,2022-01-08,2022-02-07,2025-12-18,2022-05-08,4,44,0,En cours,Nantissement,524999.01,Véhicule,562,C,4776.0,,0,CONS-016,2026-09-11 14:53:25.607950,2026-09-11 14:53:25.607950
CRD-000068,CLI-002216,AG-BÉN-01,CPT-002824,Crédit consommation,3390.28,3390.28,0.0404,0.0567,12,12,288.74,2024-03-25,2024-04-24,2025-03-20,,0,12,0,En cours,Hypothèque,2039.4,Équipement professionnel,406,C,21.51,,0,CONS-040,2026-09-11 14:53:25.610954,2026-09-11 14:53:25.610954
CRD-000069,CLI-003683,AG-TAN-01,CPT-004709,Crédit immobilier,20240.82,12987.86,0.0504,0.0603,240,154,134.03,2021-09-24,2021-10-24,2041-06-11,2028-10-17,86,154,0,En cours,Caution personnelle,14935.36,Études,711,A,85.16,,0,CONS-045,2026-09-11 14:53:25.613953,2026-09-11 14:53:25.613953
CRD-000070,CLI-004725,AG-FÈS-02,CPT-006055,Crédit consommation,23490.52,10766.49,0.0426,0.0565,48,22,533.13,2022-07-09,2022-08-08,2026-06-18,2024-08-27,26,22,0,En cours,Sans garantie,0.0,Fonds de roulement,371,C,126.13,,0,CONS-040,2026-09-11 14:53:25.617087,2026-09-11 14:53:25.617087
CRD-000071,CLI-001908,AG-MAR-01,CPT-002434,Crédit investissement,195237.6,52063.36,0.0495,0.0693,60,16,3679.9,2025-06-24,2025-07-24,2030-05-29,2029-02-03,44,16,0,En cours,Nantissement,188770.18,Fonds de roulement,479,C,280.68,,0,CONS-040,2026-09-11 14:53:25.619089,2026-09-11 14:53:25.619089
CRD-000072,CLI-000085,AG-LAÂ-01,CPT-000111,Crédit automobile,10019.24,6679.49,0.0655,0.0804,36,24,307.31,2024-09-08,2024-10-08,2027-08-24,2025-09-03,12,24,0,En cours,Hypothèque,8573.86,Travaux,627,B,23.97,,0,CONS-032,2026-09-11 14:53:25.622087,2026-09-11 14:53:25.622087
CRD-000073,CLI-000228,AG-CAS-05,CPT-000287,Crédit immobilier,174660.96,0.0,0.0305,0.0457,240,0,973.04,2022-09-30,2022-10-30,2042-06-17,2042-06-17,240,0,0,En cours,Nantissement,101187.87,Études,546,C,0.0,,0,CONS-035,2026-09-11 14:53:25.626064,2026-09-11 14:53:25.626064
CRD-000074,CLI-000297,AG-TAN-01,CPT-000370,Crédit professionnel,810124.36,81012.44,0.0519,0.0645,60,6,15358.67,2026-01-03,2026-02-02,2030-12-08,2030-06-11,54,6,0,En cours,Garantie autonome,546093.4,Investissement,404,C,611.2,,0,CONS-032,2026-09-11 14:53:25.628066,2026-09-11 14:53:25.628066
CRD-000075,CLI-001002,AG-SAL-01,CPT-001276,Crédit consommation,15431.97,7715.98,0.0551,0.0609,36,18,466.05,2022-07-18,2022-08-17,2025-07-02,2024-01-09,18,18,0,En cours,Caution personnelle,8372.7,Véhicule,707,A,76.64,,0,CONS-046,2026-09-11 14:53:25.632097,2026-09-11 14:53:25.632097
CRD-000076,CLI-002139,AG-KHE-01,CPT-002726,Crédit immobilier,124024.79,4650.93,0.0355,0.0439,240,9,722.48,2022-08-29,2022-09-28,2042-05-16,2041-08-19,231,9,0,En cours,Caution personnelle,127760.64,Investissement,675,B,28.7,,0,CONS-011,2026-09-11 14:53:25.635088,2026-09-11 14:53:25.635088
CRD-000077,CLI-000712,AG-CAS-04,CPT-000902,Crédit consommation,14661.6,13439.8,0.0438,0.0507,36,33,435.35,2025-03-04,2025-04-03,2028-02-17,2025-06-02,3,33,0,En cours,Garantie autonome,16173.49,Études,565,C,57.7,,0,CONS-032,2026-09-11 14:53:25.637089,2026-09-11 14:53:25.637089
CRD-000078,CLI-002802,AG-SET-01,CPT-003573,Crédit immobilier,1597554.14,1586903.78,0.0639,0.0701,300,298,10677.25,2026-07-20,2026-08-19,2051-03-11,2026-09-18,2,298,0,En cours,Garantie autonome,1760749.51,Travaux,525,C,5179.46,,0,CONS-023,2026-09-11 14:53:25.640083,2026-09-11 14:53:25.640083
